Room_Id,Room_Name,Booking_Id,Capacity,Room_type,Building_Number,Building_Name,Floor_Number,Utilities,Media
9A-6v,Rupiah,Bgm-86Mi,10,Conference Hall,X73-56OV,Apiaceae,5,Marker,http://dummyimage.com/134x100.png/cc0000/ffffff
5S-80,Yuan Renminbi,8Nu-17Tk,7,Conference Hall,k1T-2443,Iridaceae,5,Marker,http://dummyimage.com/134x100.png/cc0000/ffffff
jz-7q,Koruna,O5s-16Dd,9,Conference Hall,u45-84ZW,Asclepiadaceae,8,Marker,http://dummyimage.com/132x100.png/5fa2dd/ffffff
gO-0h,Yuan Renminbi,PWh-68lK,5,Conference Hall,78b-83gH,Ranunculaceae,6,Projector,http://dummyimage.com/165x100.png/5fa2dd/ffffff
cU-4u,Rupiah,MBr-58ay,1,Conference Hall,v7e-18JF,Asteraceae,4,Monitor,http://dummyimage.com/147x100.png/cc0000/ffffff
HH-6Q,Yuan Renminbi,EAa-13uk,6,Conference Hall,C1E-49QE,Polemoniaceae,3,Duster,http://dummyimage.com/170x100.png/cc0000/ffffff
Ag-1z,Yuan Renminbi,rvN-496t,6,Conference Hall,h49-90Dm,Brassicaceae,6,Projector,http://dummyimage.com/233x100.png/5fa2dd/ffffff
9x-7C,Dollar,glu-31jc,5,Conference Hall,X0k-03Vw,Juncaceae,0,Water Filter,http://dummyimage.com/144x100.png/dddddd/000000
kC-4z,Rupiah,fyc-440D,3,Conference Hall,O6Z-48xQ,Balsaminaceae,4,Marker,http://dummyimage.com/125x100.png/cc0000/ffffff
nu-8j,Zloty,RFK-27F1,6,Conference Hall,n2N-215n,Poaceae,2,Projector,http://dummyimage.com/207x100.png/cc0000/ffffff
dw-0B,Krona,mGV-208D,3,Conference Hall,92G-359K,Isoetaceae,5,Duster,http://dummyimage.com/108x100.png/cc0000/ffffff
SG-6t,Dollar,5TB-996k,9,Conference Hall,e9X-54NR,Grimmiaceae,9,Air Conditioner,http://dummyimage.com/185x100.png/ff4444/ffffff
r4-7p,Rupiah,b2g-93QS,9,Conference Hall,B4b-23pc,Violaceae,8,Air Conditioner,http://dummyimage.com/134x100.png/ff4444/ffffff
Gp-6x,Krona,8rG-91IZ,10,Conference Hall,b8t-11ll,Cactaceae,9,Projector,http://dummyimage.com/182x100.png/ff4444/ffffff
ny-52,Krona,3hQ-94oX,8,Conference Hall,F7h-48S1,Campanulaceae,1,Duster,http://dummyimage.com/154x100.png/cc0000/ffffff
CF-6r,Ruble,UVe-18El,1,Conference Hall,e7W-48jG,Asteraceae,8,Duster,http://dummyimage.com/159x100.png/5fa2dd/ffffff
Sj-41,Euro,6uu-96oU,6,Conference Hall,N7g-060w,Leskeaceae,2,Water Filter,http://dummyimage.com/158x100.png/dddddd/000000
fD-2C,Krona,BDJ-12Ku,4,Conference Hall,03V-49YF,Fabaceae,6,Air Conditioner,http://dummyimage.com/140x100.png/5fa2dd/ffffff
fd-74,Peso,mvK-08SM,1,Conference Hall,R3W-48HX,Liliaceae,1,Monitor,http://dummyimage.com/230x100.png/dddddd/000000
wu-5U,Euro,3N1-77mP,2,Cubicle,n1N-18EO,Poaceae,3,Projector,http://dummyimage.com/208x100.png/ff4444/ffffff
VU-0Y,Krone,p9W-76Og,8,Conference Hall,A4g-10jQ,Apiaceae,7,Water Filter,http://dummyimage.com/244x100.png/ff4444/ffffff
rR-27,Sol,DrE-17Fv,3,Conference Hall,i2d-09UB,Euphorbiaceae,5,Projector,http://dummyimage.com/120x100.png/5fa2dd/ffffff
Rv-4a,Taka,T0T-61Wj,9,Conference Hall,T78-500u,Fabaceae,4,Duster,http://dummyimage.com/116x100.png/ff4444/ffffff
M8-2n,Kyat,d9t-520Z,6,Conference Hall,w1X-08WH,Violaceae,2,Projector,http://dummyimage.com/237x100.png/cc0000/ffffff
ys-3f,Real,zG7-10mj,2,Conference Hall,V52-17Kc,Lamiaceae,3,Projector,http://dummyimage.com/209x100.png/5fa2dd/ffffff
fl-1P,Krona,QOc-85Rd,1,Conference Hall,59R-96Xg,Apocynaceae,5,Marker,http://dummyimage.com/174x100.png/cc0000/ffffff
5K-29,Yuan Renminbi,x2m-31Li,7,Conference Hall,W5i-82YW,Phytolaccaceae,9,Water Filter,http://dummyimage.com/157x100.png/5fa2dd/ffffff
hU-4a,Yuan Renminbi,hRa-45T8,8,Conference Hall,b1E-63yL,Lobariaceae,6,Monitor,http://dummyimage.com/153x100.png/ff4444/ffffff
2C-3H,Ruble,6nm-60Nw,9,Conference Hall,h0a-39uY,Trapeliaceae,7,Air Conditioner,http://dummyimage.com/113x100.png/cc0000/ffffff
pJ-7P,Dong,8Su-31oR,10,Conference Hall,j9o-591E,Ranunculaceae,7,Monitor,http://dummyimage.com/216x100.png/5fa2dd/ffffff
61-7O,Yuan Renminbi,9pP-82xL,9,Conference Hall,20k-1443,Pinaceae,7,Air Conditioner,http://dummyimage.com/167x100.png/cc0000/ffffff
b6-09,Koruna,YJK-054Z,5,Conference Hall,c46-36Fn,Asteraceae,7,Marker,http://dummyimage.com/206x100.png/cc0000/ffffff
cI-9y,Peso,izh-46RE,3,Conference Hall,D3e-08R5,Pertusariaceae,0,Monitor,http://dummyimage.com/198x100.png/ff4444/ffffff
h2-43,Denar,iaI-2686,9,Conference Hall,B2s-52u0,Anacardiaceae,5,Air Conditioner,http://dummyimage.com/114x100.png/dddddd/000000
Aj-8L,Naira,WJI-41yU,2,Conference Hall,n1V-76Ie,Rosaceae,5,Duster,http://dummyimage.com/247x100.png/cc0000/ffffff
K5-6g,Yuan Renminbi,WdM-59Zo,2,Cubicle,k70-64UK,Asteraceae,5,Marker,http://dummyimage.com/237x100.png/cc0000/ffffff
ra-4o,Yuan Renminbi,Vjf-118K,7,Conference Hall,f3W-75Fi,Fabaceae,1,Air Conditioner,http://dummyimage.com/100x100.png/dddddd/000000
T3-4E,Rupiah,wWO-63mU,6,Conference Hall,F8P-45UE,Oleaceae,1,Air Conditioner,http://dummyimage.com/166x100.png/cc0000/ffffff
tN-1t,Yuan Renminbi,QSF-064R,6,Conference Hall,92Z-51WF,Asteraceae,8,Projector,http://dummyimage.com/236x100.png/ff4444/ffffff
eC-7F,Krone,9Qe-52xM,9,Conference Hall,p0S-620t,Graphidaceae,9,Projector,http://dummyimage.com/225x100.png/dddddd/000000
eH-58,Euro,9z8-58Zc,7,Conference Hall,g0H-59tE,Myrtaceae,7,Marker,http://dummyimage.com/240x100.png/ff4444/ffffff
Oi-2q,Euro,tS6-9379,10,Conference Hall,k0E-49xL,Apiaceae,3,Water Filter,http://dummyimage.com/119x100.png/dddddd/000000
By-3i,Yuan Renminbi,yI4-20H8,8,Conference Hall,v2F-12PC,Scrophulariaceae,3,Monitor,http://dummyimage.com/164x100.png/cc0000/ffffff
QJ-7l,Yuan Renminbi,1GX-00U4,8,Conference Hall,J9s-404O,Caryophyllaceae,2,Duster,http://dummyimage.com/241x100.png/ff4444/ffffff
VP-2I,Peso,HgI-09Bo,2,Cubicle,P4A-66Pn,Ranunculaceae,6,Water Filter,http://dummyimage.com/226x100.png/5fa2dd/ffffff
aV-5Q,Yuan Renminbi,ioS-24H3,10,Conference Hall,T0N-33Xc,Scrophulariaceae,0,Duster,http://dummyimage.com/218x100.png/cc0000/ffffff
Ve-1m,Yuan Renminbi,iWc-6586,4,Conference Hall,Q2n-67Qf,Euphorbiaceae,3,Projector,http://dummyimage.com/150x100.png/cc0000/ffffff
KE-44,Real,u2G-82ot,6,Conference Hall,l60-69Qr,Polemoniaceae,0,Marker,http://dummyimage.com/149x100.png/dddddd/000000
z1-5M,Denar,TdV-17y1,7,Conference Hall,E8A-59jB,Cyperaceae,4,Monitor,http://dummyimage.com/194x100.png/cc0000/ffffff
xy-7D,Yuan Renminbi,UTh-52lx,1,Conference Hall,M9f-34ue,Apocynaceae,4,Duster,http://dummyimage.com/217x100.png/5fa2dd/ffffff
lW-9P,Sol,hlt-69Eg,10,Conference Hall,X9U-586k,Bacidiaceae,9,Water Filter,http://dummyimage.com/203x100.png/dddddd/000000
O7-71,Yen,eGM-57Q1,7,Conference Hall,x0Q-19eV,Asteraceae,1,Air Conditioner,http://dummyimage.com/203x100.png/dddddd/000000
Hj-60,Afghani,MAT-401b,7,Conference Hall,22n-58Zt,Poaceae,7,Monitor,http://dummyimage.com/171x100.png/cc0000/ffffff
Zk-7L,Rupiah,XJ8-46vY,9,Conference Hall,281-55os,Rutaceae,7,Projector,http://dummyimage.com/124x100.png/ff4444/ffffff
Df-2u,Ruble,Rff-09oS,2,Conference Hall,z6B-769s,Rosaceae,7,Water Filter,http://dummyimage.com/142x100.png/5fa2dd/ffffff
3C-0s,Rupiah,CBZ-22UE,1,Conference Hall,o34-52Ec,Malvaceae,7,Monitor,http://dummyimage.com/192x100.png/ff4444/ffffff
DG-1e,Sol,D9i-35Sr,1,Conference Hall,x5g-97kh,Asteraceae,6,Air Conditioner,http://dummyimage.com/171x100.png/ff4444/ffffff
1a-4T,Sol,76m-60iR,10,Conference Hall,d7R-343C,Bryaceae,2,Marker,http://dummyimage.com/168x100.png/cc0000/ffffff
Tk-67,Sol,LVu-55GA,10,Conference Hall,Y3b-51kl,Asteraceae,9,Water Filter,http://dummyimage.com/229x100.png/ff4444/ffffff
Ws-3R,Rupiah,e5G-56yV,2,Cubicle,A3R-44xG,Liliaceae,8,Air Conditioner,http://dummyimage.com/154x100.png/5fa2dd/ffffff
w8-31,Peso,KRB-33pj,8,Conference Hall,68c-59uO,Pyrenulaceae,4,Monitor,http://dummyimage.com/166x100.png/ff4444/ffffff
7M-8A,Dong,rDd-67uO,10,Conference Hall,45W-53mR,Ulmaceae,2,Air Conditioner,http://dummyimage.com/108x100.png/5fa2dd/ffffff
NC-4Y,Peso,byZ-13zI,1,Cubicle,U8P-40Bf,Rosaceae,1,Marker,http://dummyimage.com/170x100.png/ff4444/ffffff
jO-63,Peso,eer-92ZV,8,Conference Hall,B2v-36gy,Asteraceae,7,Duster,http://dummyimage.com/139x100.png/dddddd/000000
ar-2X,Yuan Renminbi,IFD-134M,4,Conference Hall,R4k-00kM,Brassicaceae,4,Marker,http://dummyimage.com/181x100.png/cc0000/ffffff
HW-4k,Peso,wlw-99qI,8,Conference Hall,x0K-58y9,Baeomycetaceae,3,Projector,http://dummyimage.com/238x100.png/cc0000/ffffff
AQ-4B,Yuan Renminbi,JgS-72wl,10,Conference Hall,X3T-33Ql,Cyperaceae,1,Monitor,http://dummyimage.com/180x100.png/dddddd/000000
6p-2t,Peso,cGX-44F9,2,Conference Hall,y9R-40H6,Liliaceae,4,Marker,http://dummyimage.com/135x100.png/5fa2dd/ffffff
zj-90,Dollar,4vS-92uc,2,Conference Hall,u7r-09vu,Apiaceae,9,Air Conditioner,http://dummyimage.com/152x100.png/ff4444/ffffff
6U-8H,Sol,AB6-02MH,7,Conference Hall,07b-23Of,Apiaceae,1,Marker,http://dummyimage.com/185x100.png/dddddd/000000
Mn-1f,Real,MqQ-22zC,4,Conference Hall,V3k-64Gl,Gentianaceae,9,Duster,http://dummyimage.com/131x100.png/dddddd/000000
8T-3T,Euro,m6u-38Wy,1,Cubicle,777-239t,Malvaceae,2,Monitor,http://dummyimage.com/218x100.png/cc0000/ffffff
gd-5p,Euro,lgw-69WW,9,Conference Hall,28v-82qN,Plumbaginaceae,9,Air Conditioner,http://dummyimage.com/233x100.png/dddddd/000000
0Y-4R,Ruble,fCl-07fw,10,Conference Hall,I85-06tn,Poaceae,1,Marker,http://dummyimage.com/191x100.png/dddddd/000000
Fe-9i,Hryvnia,J1x-03YX,6,Conference Hall,83K-14ne,Malvaceae,2,Duster,http://dummyimage.com/194x100.png/5fa2dd/ffffff
C0-5b,Krona,kmy-705r,9,Conference Hall,C74-38Gc,Liliaceae,6,Projector,http://dummyimage.com/231x100.png/5fa2dd/ffffff
2r-2G,Yuan Renminbi,mOd-64gm,5,Conference Hall,S4y-101i,Cyperaceae,5,Air Conditioner,http://dummyimage.com/208x100.png/dddddd/000000
ZH-1V,Krone,xcj-09m0,2,Conference Hall,o79-02Yz,Diapensiaceae,9,Duster,http://dummyimage.com/109x100.png/5fa2dd/ffffff
oL-7p,Ruble,dAN-21II,10,Conference Hall,N2g-497z,Aspleniaceae,8,Projector,http://dummyimage.com/126x100.png/ff4444/ffffff
Ui-3H,Hryvnia,dAu-69pB,3,Conference Hall,n1B-93ou,Fabaceae,6,Air Conditioner,http://dummyimage.com/149x100.png/cc0000/ffffff
lI-79,Peso,bGj-934g,10,Conference Hall,y1M-81lL,Ranunculaceae,4,Air Conditioner,http://dummyimage.com/227x100.png/5fa2dd/ffffff
mt-5M,Rupiah,DiE-67R7,2,Cubicle,Q5e-38V5,Cyperaceae,0,Monitor,http://dummyimage.com/171x100.png/5fa2dd/ffffff
m5-5a,Euro,9Qn-45YW,2,Conference Hall,C8x-07vW,Moraceae,2,Monitor,http://dummyimage.com/182x100.png/cc0000/ffffff
eB-0x,Colon,kwR-82MZ,9,Conference Hall,x8C-00Xg,Orchidaceae,5,Projector,http://dummyimage.com/103x100.png/5fa2dd/ffffff
3b-7g,Euro,HLB-72AH,5,Conference Hall,F3U-70PI,Araceae,7,Air Conditioner,http://dummyimage.com/166x100.png/ff4444/ffffff
4f-27,Tugrik,Ql3-19Ba,8,Conference Hall,96k-03Uq,Poaceae,3,Air Conditioner,http://dummyimage.com/177x100.png/5fa2dd/ffffff
x8-1M,Euro,MVt-16pq,5,Conference Hall,V87-21Fk,Grossulariaceae,6,Projector,http://dummyimage.com/222x100.png/dddddd/000000
Po-2L,Baht,xMn-27xz,5,Conference Hall,A43-70k0,Asteraceae,3,Marker,http://dummyimage.com/149x100.png/ff4444/ffffff
zk-6s,Koruna,pmm-95Fb,7,Conference Hall,A5l-977T,Polemoniaceae,3,Air Conditioner,http://dummyimage.com/128x100.png/5fa2dd/ffffff
6V-5J,Krona,68L-97xV,3,Conference Hall,q7j-604j,Solanaceae,1,Water Filter,http://dummyimage.com/111x100.png/5fa2dd/ffffff
kT-5g,Yuan Renminbi,2A4-69tP,10,Conference Hall,L8C-78Dv,Fabaceae,2,Marker,http://dummyimage.com/250x100.png/5fa2dd/ffffff
PA-8K,Zloty,BOP-552o,9,Conference Hall,D5X-241Q,Hydrocharitaceae,9,Water Filter,http://dummyimage.com/236x100.png/dddddd/000000
kB-9K,Peso,3hQ-94oX,6,Conference Hall,b3V-53dU,Zingiberaceae,5,Marker,http://dummyimage.com/104x100.png/dddddd/000000
H5-3Z,Peso,kr5-86Wc,10,Conference Hall,e9t-48fg,Poaceae,8,Duster,http://dummyimage.com/224x100.png/dddddd/000000
n7-92,Ruble,36a-78AA,9,Conference Hall,n8q-29xc,Asteraceae,0,Air Conditioner,http://dummyimage.com/177x100.png/cc0000/ffffff
EW-5N,Rupiah,Cbf-19lx,1,Conference Hall,x1o-76hC,Myrtaceae,6,Monitor,http://dummyimage.com/183x100.png/ff4444/ffffff
zy-4d,Yuan Renminbi,1nN-14Kp,2,Cubicle,y0q-97ha,Brassicaceae,7,Projector,http://dummyimage.com/195x100.png/ff4444/ffffff
PP-4Y,Yuan Renminbi,0sj-723u,9,Conference Hall,l8X-05ig,Boraginaceae,7,Air Conditioner,http://dummyimage.com/153x100.png/dddddd/000000
fm-0g,Peso,Chq-04ek,3,Conference Hall,E43-60wS,Cyperaceae,2,Water Filter,http://dummyimage.com/247x100.png/ff4444/ffffff
GV-1K,Ruble,DNA-66Q4,3,Conference Hall,A4g-10jQ,Apiaceae,3,Air Conditioner,http://dummyimage.com/239x100.png/dddddd/000000
uT-7H,Zloty,t1X-03Vw,9,Conference Hall,k1T-2443,Iridaceae,5,Air Conditioner,http://dummyimage.com/102x100.png/cc0000/ffffff
BM-4O,Koruna,RPa-78OM,9,Conference Hall,674-70OK,Myrsinaceae,8,Monitor,http://dummyimage.com/191x100.png/dddddd/000000
A5-9V,Balboa,2a8-19WI,7,Conference Hall,n7j-58bE,Asteraceae,0,Duster,http://dummyimage.com/110x100.png/ff4444/ffffff
8U-35,Real,HSl-96Vm,8,Conference Hall,P0l-48VV,Asteraceae,4,Marker,http://dummyimage.com/199x100.png/ff4444/ffffff
S7-9j,Dollar,XbQ-33A8,5,Conference Hall,r95-84AD,Brassicaceae,8,Duster,http://dummyimage.com/143x100.png/dddddd/000000
z3-4W,Pound,Vtp-60BQ,8,Conference Hall,15e-72LF,Brassicaceae,9,Water Filter,http://dummyimage.com/191x100.png/ff4444/ffffff
06-8Y,Bolivar,7A9-97OA,7,Conference Hall,U3f-3422,Brachytheciaceae,6,Marker,http://dummyimage.com/201x100.png/cc0000/ffffff
Rg-98,Yuan Renminbi,4Q7-25oI,6,Conference Hall,44r-16A1,Opegraphaceae,3,Monitor,http://dummyimage.com/192x100.png/5fa2dd/ffffff
f2-5V,Euro,g04-40Qp,9,Conference Hall,Q96-13jV,Caryophyllaceae,3,Monitor,http://dummyimage.com/128x100.png/dddddd/000000
gT-24,Yen,gmD-37UM,1,Cubicle,z9z-29wu,Chenopodiaceae,5,Water Filter,http://dummyimage.com/194x100.png/5fa2dd/ffffff
E4-4p,Sol,QJ8-54rR,3,Conference Hall,k9Q-029U,Teloschistaceae,0,Water Filter,http://dummyimage.com/229x100.png/5fa2dd/ffffff
ZA-8y,Euro,1FI-95ne,6,Conference Hall,H3v-91iq,Poaceae,3,Marker,http://dummyimage.com/104x100.png/ff4444/ffffff
vJ-5v,Dong,CyC-58Of,9,Conference Hall,77Z-38OQ,Trapeliaceae,9,Projector,http://dummyimage.com/126x100.png/ff4444/ffffff
H3-68,Yuan Renminbi,Jt8-094M,8,Conference Hall,N8m-66MS,Porpidiaceae,7,Projector,http://dummyimage.com/214x100.png/ff4444/ffffff
Si-1P,Yuan Renminbi,Wu5-03k2,3,Conference Hall,W5i-82YW,Phytolaccaceae,9,Projector,http://dummyimage.com/178x100.png/dddddd/000000
Rg-6k,Dong,XK5-70Ii,1,Conference Hall,w3B-79c4,Malvaceae,2,Water Filter,http://dummyimage.com/104x100.png/5fa2dd/ffffff
sM-93,Lek,9Ih-85We,9,Conference Hall,W9A-55lM,Fabaceae,1,Marker,http://dummyimage.com/164x100.png/5fa2dd/ffffff
9J-7H,Shilling,m2l-48b4,2,Conference Hall,R26-26si,Arecaceae,3,Marker,http://dummyimage.com/203x100.png/dddddd/000000
bt-5F,Euro,rxO-22va,8,Conference Hall,G87-56Rr,Polemoniaceae,1,Marker,http://dummyimage.com/106x100.png/5fa2dd/ffffff
pc-06,Yuan Renminbi,f1p-07C7,6,Conference Hall,B4N-07ee,Campanulaceae,7,Monitor,http://dummyimage.com/128x100.png/cc0000/ffffff
8H-6D,Pound,oQ3-1933,1,Cubicle,h6x-08St,Crassulaceae,1,Marker,http://dummyimage.com/192x100.png/cc0000/ffffff
XJ-2C,Yuan Renminbi,Fby-93zx,5,Conference Hall,G0S-61my,Ranunculaceae,1,Duster,http://dummyimage.com/134x100.png/cc0000/ffffff
Ty-2z,Rupiah,TMW-09fE,5,Conference Hall,32j-05lz,Apiaceae,1,Monitor,http://dummyimage.com/173x100.png/dddddd/000000
Fx-3I,Pound,KiE-27L9,3,Conference Hall,t1J-22D5,Fabaceae,7,Water Filter,http://dummyimage.com/164x100.png/ff4444/ffffff
AI-7G,Ruble,YOJ-81W3,3,Conference Hall,A8d-18qg,Rhamnaceae,8,Projector,http://dummyimage.com/130x100.png/ff4444/ffffff
ZT-05,Euro,Bly-56G2,2,Cubicle,B7S-87sg,Asteraceae,7,Air Conditioner,http://dummyimage.com/132x100.png/5fa2dd/ffffff
VC-8J,Sol,6Xd-76Kh,1,Cubicle,49x-48is,Orchidaceae,9,Marker,http://dummyimage.com/184x100.png/dddddd/000000
3f-7F,Peso,faa-97CZ,1,Conference Hall,w1X-08WH,Violaceae,5,Water Filter,http://dummyimage.com/123x100.png/dddddd/000000
Sf-0p,Yuan Renminbi,PEY-27eC,4,Conference Hall,e7W-48jG,Asteraceae,6,Duster,http://dummyimage.com/148x100.png/dddddd/000000
cr-9N,Yuan Renminbi,rfa-67wF,6,Conference Hall,h3H-028f,Cupressaceae,5,Water Filter,http://dummyimage.com/154x100.png/dddddd/000000
